Name,Website,Youtube,About,TrustFactors,Topics,Wikipedia,X,Substack
Al Jazeera,https://www.aljazeera.com,@aljazeeraenglish,"Qatar-based international news organization. It operates a website, aljazeera.com, which offers news coverage with a focus on the Middle East and global affairs. Known for its diverse viewpoints, especially from the Middle East, it covers a range of topics including politics, economics, culture, and social issues. Al Jazeera is recognized for its in-depth reporting and has gained a reputation for providing perspectives often not seen in Western media outlets.",Funded by the government of Qatar,"Politics, Middle East, International Relations, Economics, Social Issues, Culture, Environment, Science, Health, Human Rights, Conflicts, Diplomacy, Sports, Technology, Media Analysis, Israel-Palestine Conflict, Gaza, Global Affairs",https://en.wikipedia.org/wiki/Al_Jazeera,AJEnglish,N/A
Breaking Points,https://breakingpoints.locals.com,@breakingpoints,"Independent political news and opinion show co-hosted by Krystal Ball (left-wing populist, former MSNBC) and Saagar Enjeti (right-wing populist, former Daily Caller). Launched in June 2021 after both left The Hill's Rising. Features bipartisan populist perspective with focus on holding establishment accountable. Published on YouTube, podcast platforms (via iHeart), with premium membership model. Additional hosts Ryan Grim and Emily Jashinsky cover Wednesdays with CounterPoints. Over 1M YouTube subscribers.","Independently funded through premium subscriptions and ads, no corporate backing. Co-founders have editorial control. Small crew of mostly part-time contractors, ~$1M annual budget","US Politics, Populism, Establishment Critique, Economics, Foreign Policy, Culture Wars, Media Criticism, Presidential Elections, Congressional Politics, Corporate Power, Military Industrial Complex, Healthcare, Labor, Technology Policy, Gaza, Israel, Palestine, Russia-Ukraine conflict",https://en.wikipedia.org/wiki/Breaking_Points,PointsCommunity,N/A
BreakThrough News,https://breakthroughnews.org,@BreakThroughNews,"BreakThrough News is a media outlet that focuses on providing alternative and independent news coverage, analysis, and commentary on various social, political, and economic issues. It aims to offer perspectives that may not be as prominently featured in mainstream media. BreakThrough News covers topics such as social justice, activism, inequality, international affairs, and more, with a particular emphasis on grassroots movements and marginalized communities. It seeks to challenge the status quo and provide a platform for voices that are often underrepresented in traditional media.","501(c)3 nonprofit organization in the United States. No corporate donations or state funding. Our funding derives from our viewers, supporters, and foundations that share our mission.","Israel-Palestine Conflict, Africa, Asia, Black America, Economy, Latin America, Middle East, U.S. Foreign Policy, Women's Rights, Climate, Labor, China, People's Movements, Palestine, News, Shows, Documentaries, Social Issues, Political Issues, Resistance Movements, Mainstream Media Critique, Israel-Palestine Conflict, Gaza, Global Affairs, Diddy, Epstein, JFK",https://en.wikipedia.org/wiki/BreakThrough_News,btnewsroom,N/A
Center for Responsive Politics (Open Secrets),https://www.opensecrets.org/,@OpenSecretsDC,"Money in politics, U.S. politics and economics","Published by the Center for Responsive Politics, a 501(c)(3) nonprofit organization. Funded by donations, grants, and income earned from custom research and licensing data for commercial use. Viewpoint: strengthening democracy by providing information about money's role in politics.","Campaign finance, U.S. politics, money in elections, political donations, lobbying, soft money contributions, politicians' finances, political organizations, political funding trends, interest groups, non-partisan research, political finance.",https://en.wikipedia.org/wiki/OpenSecrets,OpenSecretsDC,N/A
Colonial Outcasts,https://colonialoutcasts.com/,@colonialoutcasts,"Anti-imperialist, anti-war, and anti-establishment podcast hosted by Greg Stoker (former US Army veteran) and Mark Wayne. Focuses on military science, anthropology, history, and foreign policy from a critical perspective.",Independent podcast funded through Patreon with 3171+ members. Hosts have activist backgrounds and military experience.,"Anti-imperialism, foreign policy criticism, Gaza/Palestine, US military interventions, geopolitics, Syria, Kashmir, Russia-Ukraine conflict",,gregjstoker,colonialoutcasts
Dimitri Lascaris,https://dimitrilascaris.org/,@Reason2Resist,"Canadian lawyer, journalist and activist. Former securities class action lawyer, former justice critic of Green Party of Canada. Host of Reason2Resist show focusing on human rights and anti-war activism.",Named one of Canada's 25 most influential lawyers multiple times. Former board member of The Real News Network. Legal background at Sullivan & Cromwell and Siskinds LLP.,"Palestine/Israel, international law, human rights, Canadian politics, anti-war activism, NATO, nuclear weapons, environmental law",https://en.wikipedia.org/wiki/Dimitri_Lascaris,dimitrilascaris,N/A
Double Down News,https://www.doubledown.news/,@DoubleDownNews,"British alternative media outlet founded in 2017 by Yannis Mendez. Produces left-wing films and interviews featuring contributors like George Monbiot, Owen Jones, and Chris Packham.",Funded through Patreon with 28812+ members. Contributors include respected journalists from mainstream outlets like The Guardian and former Daily Telegraph.,"UK politics, Palestine/Israel, economic justice, racial justice, Conservative Party criticism, Jeremy Corbyn support, progressive causes",https://en.wikipedia.org/wiki/Double_Down_News,DoubleDownNews,N/A
Danny Haiphong,n/a,@geopoliticshaiphong,"Danny Haiphong is a political analyst, writer, and activist known for his work on U.S. foreign policy, imperialism, and social justice issues. He is a co-editor of Black Agenda Report and has contributed to various media outlets. Haiphong's analysis often focuses on the intersections between race, class, and imperialism, providing a critical perspective on U.S. domestic and foreign policies.","Independent analyst and writer. Funded by donations and contributions from various media outlets.","U.S. foreign policy, imperialism, social justice, race, class, Black liberation, anti-imperialism, political analysis, activism, Israel-Palestine Conflict, Russia-Ukraine Conflict",https://en.wikipedia.org/wiki/Danny_Haiphong,GeopoliticsDH,N/A
Declassified UK,https://declassifieduk.org/,@DeclassifiedUK,"Declassified UK is a British investigative journalism organization that focuses on uncovering hidden truths about the UK government, military, and intelligence services. It aims to provide in-depth analysis and reporting on issues often overlooked or misrepresented in mainstream media. Declassified UK covers topics such as foreign policy, military interventions, intelligence operations, and human rights abuses, with a commitment to transparency and accountability.","501(c)(3) nonprofit organization. Funded by donations and grants. Viewpoint: committed to investigative journalism that holds power to account.","UK government, military, intelligence services, foreign policy, military interventions, human rights abuses, transparency, accountability, Israel-Palestine Conflict, Russia-Ukraine Conflict",https://en.wikipedia.org/wiki/Declassified_UK,declassifiedUK,N/A
Democracy in Europe Movement 2025,https://diem25.org,@DiEM25official,"Democracy in Europe Movement 2025 (DiEM25) is a pan-European political movement and political party founded in 2016 by a group of Europeans, including Yanis Varoufakis and Srećko Horvat. DiEM25 aims to democratize the European Union (EU) and address issues related to transparency, technology, economy, environment, refugees and migrants, culture, post-capitalism, and the European constitutional process. It advocates for a more democratic and transparent EU, and it has gained support from individuals across Europe who share these goals.",501(c)(3) nonprofit,"Israel-Palestine Conflict, EU politics, pan-Europeanism, post-capitalism, progressivism, democratic socialism, environmentalism, ecofeminism, alter-globalisation​, oligarchies, Global Affairs & Economics, Russia-Ukraine Conflict",https://en.wikipedia.org/wiki/Democracy_in_Europe_Movement_2025,diem_25,N/A
