Name,X,Youtube,Substack,Website,About,TrustFactors,Topics
Al Jazeera,AJEnglish,@aljazeeraenglish,n/a,https://www.aljazeera.com,"Qatar-based international news organization. It operates a website, aljazeera.com, which offers news coverage with a focus on the Middle East and global affairs. Known for its diverse viewpoints, especially from the Middle East, it covers a range of topics including politics, economics, culture, and social issues. Al Jazeera is recognized for its in-depth reporting and has gained a reputation for providing perspectives often not seen in Western media outlets.",Funded by the government of Qatar,"Politics, Middle East, International Relations, Economics, Social Issues, Culture, Environment, Science, Health, Human Rights, Conflicts, Diplomacy, Sports, Technology, Media Analysis, Israel-Palestine Conflict, Gaza, Global Affairs"
Breaking Points,PointsCommunity,@breakingpoints,n/a,https://breakingpoints.locals.com,"Independent political news and opinion show co-hosted by Krystal Ball (left-wing populist, former MSNBC) and Saagar Enjeti (right-wing populist, former Daily Caller). Launched in June 2021 after both left The Hill's Rising. Features bipartisan populist perspective with focus on holding establishment accountable. Published on YouTube, podcast platforms (via iHeart), with premium membership model. Additional hosts Ryan Grim and Emily Jashinsky cover Wednesdays with CounterPoints. Over 1M YouTube subscribers.","Independently funded through premium subscriptions and ads, no corporate backing. Co-founders have editorial control. Small crew of mostly part-time contractors, ~$1M annual budget","US Politics, Populism, Establishment Critique, Economics, Foreign Policy, Culture Wars, Media Criticism, Presidential Elections, Congressional Politics, Corporate Power, Military Industrial Complex, Healthcare, Labor, Technology Policy, Gaza, Israel, Palestine, Russia-Ukraine conflict"
BreakThrough News,btnewsroom,@BreakThroughNews,n/a,https://breakthroughnews.org,"BreakThrough News is a media outlet that focuses on providing alternative and independent news coverage, analysis, and commentary on various social, political, and economic issues. It aims to offer perspectives that may not be as prominently featured in mainstream media. BreakThrough News covers topics such as social justice, activism, inequality, international affairs, and more, with a particular emphasis on grassroots movements and marginalized communities. It seeks to challenge the status quo and provide a platform for voices that are often underrepresented in traditional media.","501(c)3 nonprofit organization in the United States. No corporate donations or state funding. Our funding derives from our viewers, supporters, and foundations that share our mission.","Israel-Palestine Conflict, Africa, Asia, Black America, Economy, Latin America, Middle East, U.S. Foreign Policy, Women's Rights, Climate, Labor, China, People's Movements, Palestine, News, Shows, Documentaries, Social Issues, Political Issues, Resistance Movements, Mainstream Media Critique, Israel-Palestine Conflict, Gaza, Global Affairs, Diddy, Epstein, JFK"
Center for Responsive Politics (Open Secrets),OpenSecretsDC,@OpenSecretsDC,n/a,https://www.opensecrets.org/,"Money in politics, U.S. politics and economics","Published by the Center for Responsive Politics, a 501(c)(3) nonprofit organization. Funded by donations, grants, and income earned from custom research and licensing data for commercial use. Viewpoint: strengthening democracy by providing information about money's role in politics.","Campaign finance, U.S. politics, money in elections, political donations, lobbying, soft money contributions, politicians' finances, political organizations, political funding trends, interest groups, non-partisan research, political finance."
Colonial Outcasts,gregjstoker,@colonialoutcasts,colonialoutcasts,https://colonialoutcasts.com/,"Anti-imperialist, anti-war, and anti-establishment podcast hosted by Greg Stoker (former US Army veteran) and Mark Wayne. Focuses on military science, anthropology, history, and foreign policy from a critical perspective.",Independent podcast funded through Patreon with 3171+ members. Hosts have activist backgrounds and military experience.,"Anti-imperialism, foreign policy criticism, Gaza/Palestine, US military interventions, geopolitics, Syria, Kashmir, Russia-Ukraine conflict"
Danny Haiphong,GeopoliticsDH,@geopoliticshaiphong,n/a,n/a,"Danny Haiphong is a political analyst, writer, and activist known for his work on U.S. foreign policy, imperialism, and social justice issues. He is a co-editor of Black Agenda Report and has contributed to various media outlets. Haiphong's analysis often focuses on the intersections between race, class, and imperialism, providing a critical perspective on U.S. domestic and foreign policies.","Independent analyst and writer. Funded by donations and contributions from various media outlets.","U.S. foreign policy, imperialism, social justice, race, class, Black liberation, anti-imperialism, political analysis, activism, Israel-Palestine Conflict, Russia-Ukraine Conflict"
Declassified UK,declassifiedUK,@DeclassifiedUK,n/a,https://declassifieduk.org/,"Declassified UK is a British investigative journalism organization that focuses on uncovering hidden truths about the UK government, military, and intelligence services. It aims to provide in-depth analysis and reporting on issues often overlooked or misrepresented in mainstream media. Declassified UK covers topics such as foreign policy, military interventions, intelligence operations, and human rights abuses, with a commitment to transparency and accountability.","501(c)(3) nonprofit organization. Funded by donations and grants. Viewpoint: committed to investigative journalism that holds power to account.","UK government, military, intelligence services, foreign policy, military interventions, human rights abuses, transparency, accountability, Israel-Palestine Conflict, Russia-Ukraine Conflict"
Democracy in Europe Movement 2025,diem_25,@DiEM25official,n/a,https://diem25.org,"Democracy in Europe Movement 2025 (DiEM25) is a pan-European political movement and political party founded in 2016 by a group of Europeans, including Yanis Varoufakis and Srećko Horvat. DiEM25 aims to democratize the European Union (EU) and address issues related to transparency, technology, economy, environment, refugees and migrants, culture, post-capitalism, and the European constitutional process. It advocates for a more democratic and transparent EU, and it has gained support from individuals across Europe who share these goals.",501(c)(3) nonprofit,"Israel-Palestine Conflict, EU politics, pan-Europeanism, post-capitalism, progressivism, democratic socialism, environmentalism, ecofeminism, alter-globalisation​, oligarchies, Global Affairs & Economics, Russia-Ukraine Conflict"
Democracy Now,democracynow,@DemocracyNow,n/a,https://www.democracynow.org/,"Daily, global, independent news hour with breaking headlines and in-depth interviews on pressing issues, offering diverse and provocative perspectives.","501(c)(3) nonprofit. Audience supported. No ads, underwriting, corporate or government funding.","COP28 Climate Summit, Israel-Palestine Conflict, Gaza, Middle East, Climate crisis, Immigration, Russia-Ukraine Conflict, Abortion rights, Donald Trump, Gun control, Police brutality, Supreme Court issues, Global Affairs & Economics"
Dialogue Works,Dialogue_NRA,@dialogueworks,dialogueworks,n/a,"YouTube channel hosted by Nima Alkhorshid focused on dialogue and peace. Started in October 2022, it features interviews with various military analysts, former diplomats, and economists discussing international relations, conflicts, and geopolitics. The channel has grown to over 230K subscribers and is characterized by its critical stance toward NATO and Western foreign policy, while presenting pro-Russian and pro-Chinese perspectives on current conflicts.",Independent YouTube channel,"Ukraine Conflict, Russia, China, Iran, US Foreign Policy, NATO, Geopolitics, Middle East, Anti-War Movement, International Relations, Military Analysis, Western Decline"
